rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.7984,0.5969,1.0,1.0,6,6,False,True
2,frame_0070.jpg,28.0,0.7031,0.7062,0.5,1.0,4,3,False,False
3,frame_0073.jpg,29.2,0.6933,0.5866,0.6667,1.0,5,4,False,False
4,frame_0289.jpg,115.6,0.6928,0.7817,0.5,0.76,3,3,False,True
5,frame_0123.jpg,49.2,0.6925,0.729,0.6667,0.64,4,4,False,True
6,frame_0077.jpg,30.8,0.6611,0.5701,0.6667,0.88,5,4,False,False
7,frame_0002.jpg,0.8,0.6559,0.4119,0.8333,1.0,7,5,False,True
8,frame_0079.jpg,31.6,0.6549,0.5898,0.6667,0.8,7,4,False,True
9,frame_0376.jpg,150.4,0.647,0.73,0.8333,0.16,6,5,False,True
10,frame_0015.jpg,6.0,0.6445,0.6891,0.3333,1.0,3,2,False,True
11,frame_0332.jpg,132.8,0.6416,0.6671,1.0,0.04,6,6,False,True
12,frame_0025.jpg,10.0,0.6409,0.7818,0.1667,1.0,1,1,False,True
13,frame_0328.jpg,131.2,0.6367,0.6414,1.0,0.08,9,6,False,False
14,frame_0031.jpg,12.4,0.6352,0.4703,0.6667,1.0,5,4,False,True
15,frame_0000.jpg,0.0,0.6268,0.4536,0.6667,1.0,6,4,False,False
16,frame_0001.jpg,0.4,0.62,0.5399,0.5,1.0,7,3,False,False
17,frame_0131.jpg,52.4,0.6162,0.5484,0.5,0.96,4,3,False,True
18,frame_0075.jpg,30.0,0.6145,0.5451,0.5,0.96,6,3,False,False
19,frame_0397.jpg,158.8,0.6089,0.6378,0.8333,0.2,6,5,False,True
20,frame_0010.jpg,4.0,0.6064,0.7128,0.1667,1.0,1,1,False,False
21,frame_0125.jpg,50.0,0.6044,0.5207,0.6667,0.72,4,4,False,False
22,frame_0285.jpg,114.0,0.6043,0.5685,0.6667,0.6,4,4,False,False
23,frame_0301.jpg,120.4,0.5977,0.5195,0.8333,0.44,6,5,False,False
24,frame_0377.jpg,150.8,0.597,0.646,0.8333,0.12,7,5,False,False
25,frame_0291.jpg,116.4,0.5968,0.4575,0.6667,0.84,7,4,False,False
26,frame_0386.jpg,154.4,0.5868,0.6775,0.6667,0.24,7,4,False,False
27,frame_0375.jpg,150.0,0.5861,0.5922,0.8333,0.2,8,5,False,False
28,frame_0387.jpg,154.8,0.586,0.592,0.8333,0.2,9,5,False,False
29,frame_0284.jpg,113.6,0.5835,0.443,0.8333,0.56,5,5,False,False
30,frame_0129.jpg,51.6,0.5829,0.5138,0.5,0.88,5,3,False,False
31,frame_0072.jpg,28.8,0.5786,0.5573,0.3333,1.0,5,2,False,False
32,frame_0029.jpg,11.6,0.5697,0.4394,0.5,1.0,5,3,False,False
33,frame_0008.jpg,3.2,0.5665,0.433,0.5,1.0,3,3,False,False
34,frame_0033.jpg,13.2,0.5652,0.4304,0.5,1.0,5,3,False,False
